epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
32,0.834600393971,0.79459943374,0.58723376443,0.0125,0.743705232938,0.721313456694,0.957394838333
33,0.83436755836,0.801286881169,0.508695007612,0.0125,0.70786233743,0.681344489257,1.12703404824
34,0.846179584662,0.813189675411,0.389732362082,0.0125,0.680218756199,0.671431024869,2.42054005464
35,0.844987556338,0.812725176414,0.344901831821,0.0125,0.66165236632,0.604695697625,1.22827410698
36,0.845606173078,0.809186110894,0.379142366971,0.0125,0.654977162679,0.646060665449,3.01054898898
37,0.839230741064,0.810464079181,0.406276189412,0.0125,0.739447792371,0.700465520223,1.07691582044
38,0.822051301599,0.791967536012,0.752926116188,0.0125,0.693984727065,0.662852923075,1.08875449498
39,0.845686535041,0.806736076872,0.42464947328,0.00625,0.727778633436,0.697034955025,1.01269916693
40,0.850500052174,0.818343927463,0.159687090044,0.00625,0.738966127237,0.720934708913,0.977749407291
41,0.861925631762,0.829568271836,0.0185260667155,0.00625,0.689904272556,0.681781729062,2.29569486777
42,0.856551369031,0.829523101449,0.0526975411922,0.00625,0.752528389295,0.715964774291,0.939064880212
43,0.863514269392,0.834045574069,-0.065885476768,0.00625,0.752037803332,0.728063007196,0.982943852743
44,0.867970973253,0.839149435361,-0.121485142037,0.00625,0.745729327202,0.726013441881,1.28776228428
45,0.866136108836,0.839181279143,-0.131784390658,0.00625,0.746772766113,0.733156561852,1.15603707234
46,0.869533220927,0.843025028706,-0.184455186749,0.00625,0.757650991281,0.739095290502,1.06198402246
47,0.866353357832,0.841049840053,-0.162864075974,0.00625,0.680062870185,0.673768043518,2.03474442164
48,0.865443880359,0.836174642046,-0.120238865415,0.00625,0.756616950035,0.734327117602,1.07603704929
49,0.873941928148,0.842370991906,-0.210690511391,0.003125,0.74386648337,0.729333062967,1.19676484664
50,0.872452283899,0.846471369267,-0.294244814664,0.003125,0.788186132908,0.771068791548,0.788185695807
51,0.874685029189,0.847230911255,-0.293755577877,0.003125,0.758697251479,0.749187072118,1.00494619211
52,0.877905334036,0.849993363023,-0.323260831957,0.003125,0.73707785209,0.712276200453,0.945477247238
53,0.875016023715,0.851082990567,-0.344537296643,0.003125,0.777743021647,0.760113179684,0.858479678631
54,0.882650380333,0.856062024832,-0.449988860637,0.003125,0.800498723984,0.777217328548,0.718744953473
55,0.880113864938,0.851984406511,-0.349382235358,0.003125,0.705349226793,0.696227272352,2.10044777393
56,0.878164604306,0.855269049605,-0.445580436538,0.003125,0.791241685549,0.776080866655,0.818315883478
57,0.883845895529,0.857959543665,-0.493059021731,0.003125,0.738978584607,0.7225035429,1.02447875341
58,0.879795655608,0.854395613074,-0.406903132486,0.003125,0.81652679046,0.775213996569,0.633147656918
59,0.887711907427,0.862011447549,-0.551712873081,0.003125,0.799197912216,0.781897028287,0.740975677967
60,0.886445110043,0.860653797785,-0.498945390185,0.003125,0.751076519489,0.738026678562,1.12947462002
61,0.887628560265,0.860118175546,-0.515610903502,0.003125,0.734590669473,0.730085253716,1.27759269873
62,0.880969742934,0.859079917272,-0.514136682575,0.003125,0.759925087293,0.750053167343,0.98622093598
63,0.888101379077,0.862500737111,-0.557006529222,0.003125,0.78464482228,0.756832063198,0.83985688289
64,0.883936564128,0.858481084307,-0.443507075931,0.003125,0.607796231906,0.587195217609,1.68117745717
65,0.87739251554,0.856125126282,-0.484253937999,0.0015625,0.776621242364,0.740334312121,0.778315881888
66,0.892118955652,0.863767728209,-0.577251712481,0.0015625,0.827681740125,0.809686183929,0.562101721764
67,0.887188966076,0.864310130477,-0.624040892969,0.0015625,0.787912507852,0.759138921897,0.785929322243
68,0.89975750943,0.873972088099,-0.776745890578,0.0015625,0.804070770741,0.791029294332,0.714078446229
69,0.884276901682,0.86245661974,-0.529054049092,0.0015625,0.830149849256,0.787076195081,0.576539734999
70,0.897392218312,0.871807908018,-0.757189308604,0.0015625,0.805005669594,0.783730963866,0.698923587799
71,0.900011882186,0.875835349162,-0.84005296727,0.0015625,0.824456791083,0.805585622787,0.574747502804
72,0.895695115129,0.872483884295,-0.730833987395,0.0015625,0.840280155341,0.820640881856,0.533046682676
73,0.904555380344,0.878021717072,-0.847749471664,0.0015625,0.8293988506,0.814063429832,0.57464993
74,0.898336986701,0.876062313716,-0.796634731814,0.0015625,0.841927349567,0.8268267711,0.4940366745
75,0.896912703911,0.875209371249,-0.763066469381,0.0015625,0.819931546847,0.795640985171,0.586030364037
76,0.903594712416,0.879846950372,-0.86632095774,0.0015625,0.836091617743,0.823366343975,0.520553102096
77,0.902466843526,0.880231852333,-0.882570683956,0.0015625,0.835806012154,0.821164131165,0.531776030858
78,0.899358689785,0.877506742875,-0.825022377074,0.0015625,0.836810568968,0.818356573582,0.522578954697
79,0.894931092858,0.873197158178,-0.714867653946,0.0015625,0.794996380806,0.78457001845,0.896089017391
80,0.89576664567,0.872368012865,-0.741021590928,0.0015625,0.836903611819,0.823722422123,0.514150063197
81,0.896182318528,0.875096663833,-0.809250944604,0.00078125,0.844738006592,0.827608187993,0.472643127044
82,0.905077616374,0.882443095247,-0.933095008135,0.00078125,0.839884678523,0.817872405052,0.527752379576
83,0.907759224375,0.883897945285,-0.958567614357,0.00078125,0.849195361137,0.830880045891,0.462149659793
84,0.905101026098,0.883071710666,-0.929360443105,0.00078125,0.839703877767,0.828851759434,0.500730623802
85,0.906448875864,0.8843648235,-0.964221114914,0.00078125,0.862758378188,0.839426875114,0.422077715397
86,0.900301744541,0.878207936883,-0.770281443993,0.00078125,0.841530104478,0.828208963076,0.519869883855
87,0.905831461151,0.884465460976,-0.971281324824,0.00078125,0.847455342611,0.83327327172,0.477194547653
88,0.907927582661,0.885623643796,-0.962735225757,0.00078125,0.85393345356,0.839704771837,0.43917230765
89,0.910258223613,0.888720795512,-1.03257603447,0.00078125,0.858306368192,0.838025947412,0.428273429473
90,0.904359499613,0.884074295561,-0.917453867694,0.00078125,0.853656768799,0.843621969223,0.457028230031
91,0.908711309234,0.887142991026,-1.00025525192,0.00078125,0.847162365913,0.835317293803,0.48982745409
92,0.904613306125,0.884093771378,-0.926303555568,0.000390625,0.86180216074,0.847493628661,0.409812053045
93,0.90593726933,0.885852416356,-0.958872079849,0.000390625,0.869389096896,0.844451069832,0.411001811425
94,0.909307037791,0.886896585425,-1.00180453559,0.000390625,0.849375406901,0.840164879958,0.487472792466
95,0.910232101878,0.889114076893,-1.04942859213,0.000390625,0.875201423963,0.850928882758,0.379846692085
96,0.911290605863,0.890146603187,-1.04814875374,0.000390625,0.873765309652,0.853774130344,0.383910775185
97,0.91425730288,0.892400513093,-1.1005474776,0.000390625,0.875212868055,0.852149705092,0.382619778315
98,0.908862749736,0.886880606413,-0.960405712326,0.000390625,0.876440684001,0.854647099972,0.37148647507
99,0.912749404709,0.890718370676,-1.05527049303,0.000390625,0.869829575221,0.853292584419,0.390372474988
100,0.910850971937,0.889574512839,-1.02974573274,0.000390625,0.871884147326,0.85415216287,0.384807169437
101,0.911782513062,0.891447146734,-1.07899200916,0.000390625,0.868495682875,0.853794713815,0.386179625988
102,0.912275185188,0.890678008397,-1.04859556754,0.000390625,0.876108825207,0.855583190918,0.380800465743
103,0.913584018747,0.892957230409,-1.09888978799,0.000390625,0.872169236342,0.854096213977,0.398599982262
104,0.907866160075,0.887744451563,-0.979760155082,0.000390625,0.867871840795,0.844979147116,0.422636906306
105,0.915574133396,0.893954684337,-1.12842508654,0.000195313,0.87653529644,0.857027113438,0.378005901972
106,0.916603028774,0.894874051213,-1.13485434155,0.000195313,0.870755255222,0.856062134107,0.386011560758
107,0.914503787955,0.894191483657,-1.11514254908,0.000195313,0.878097792466,0.857624053955,0.371696035067
108,0.913742770751,0.892935827374,-1.09428155422,0.000195313,0.877449790637,0.856842796008,0.378214389086
109,0.913272932172,0.892413248618,-1.07945648829,0.000195313,0.87088851134,0.856191456318,0.3807977736
110,0.914079035322,0.893615692854,-1.09006857872,0.000195313,0.868287146091,0.854922831059,0.385407547156
111,0.914066061378,0.893117507299,-1.08793605864,9.76563e-05,0.875389099121,0.857964396477,0.37151697278
112,0.911470343669,0.891574323177,-1.05830833316,9.76563e-05,0.878570298354,0.859064102173,0.372338622808
113,0.914718622963,0.893519808849,-1.11095554133,9.76563e-05,0.877349853516,0.859367549419,0.372774869204
114,0.914248590668,0.893022432923,-1.09020788968,9.76563e-05,0.878993233045,0.859435935815,0.371669908365
115,0.913789436221,0.893253430724,-1.10070939362,9.76563e-05,0.877100626628,0.858542740345,0.374920318524
116,0.909088134766,0.889764388402,-0.984659885367,9.76563e-05,0.879401147366,0.859693408012,0.368507812421
117,0.9138263762,0.892453829447,-1.07075157762,9.76563e-05,0.88029251496,0.859432220459,0.362785249949
118,0.915504713853,0.895144482454,-1.1339341253,9.76563e-05,0.879814902941,0.860377808412,0.365851273139
119,0.908677170674,0.888767838478,-0.989968861143,9.76563e-05,0.879385372003,0.86046475172,0.371602336566
120,0.916832153996,0.895866796374,-1.15655949712,9.76563e-05,0.87560882171,0.859453817209,0.374995758136
121,0.910784532626,0.890941957633,-1.03706971804,9.76563e-05,0.879484057426,0.860981941223,0.362467338641
122,0.915911932786,0.895343452692,-1.14738904436,9.76563e-05,0.880794525146,0.860533575217,0.365273674329
123,0.916356851657,0.895050520698,-1.14205013712,9.76563e-05,0.880035400391,0.861168980598,0.365289012591
124,0.915657108029,0.894729355971,-1.11987757186,9.76563e-05,0.881431082884,0.861126522223,0.358628888925
125,0.915861199299,0.895343234142,-1.143602555,9.76563e-05,0.879693865776,0.860387225946,0.362772126993
126,0.916023125251,0.895222817858,-1.13849460582,9.76563e-05,0.876121004423,0.859878023465,0.370891094208
127,0.913756375511,0.893344864249,-1.08635106683,9.76563e-05,0.874522904555,0.859887460868,0.374512255192
128,0.915542155504,0.894684861104,-1.11590527991,9.76563e-05,0.880349218845,0.86070984602,0.363835622867
129,0.916182776292,0.895971477032,-1.14007551471,9.76563e-05,0.88072814544,0.861654678981,0.364731589953
130,0.915812492371,0.895162890355,-1.13035900394,9.76563e-05,0.881139119466,0.860666791598,0.365695297718
131,0.915876905123,0.894423931837,-1.11005378763,4.88281e-05,0.881374875704,0.861513594786,0.366100788116
132,0.917011896769,0.895945434769,-1.13911243031,4.88281e-05,0.881131986777,0.861607372761,0.365478674571
133,0.918199285865,0.897571543852,-1.18152257303,4.88281e-05,0.880569219589,0.861240009467,0.36713463068
134,0.914799124002,0.894332105915,-1.11589014033,4.88281e-05,0.88064601024,0.86111754179,0.367080926895
135,0.917308365305,0.896233782172,-1.15471707284,4.88281e-05,0.880355576674,0.861185828845,0.367398043474
136,0.914646714926,0.894731317957,-1.12138276796,4.88281e-05,0.878422280153,0.861235698064,0.369926899672
137,0.91671517988,0.8961169372,-1.14504121244,2.44141e-05,0.878098030885,0.861241618792,0.371084133784
138,0.917034660776,0.896731545528,-1.16060546041,2.44141e-05,0.877867380778,0.861245751381,0.371425231298
139,0.917496427894,0.897501821319,-1.1741387248,2.44141e-05,0.879178623358,0.861432115237,0.367910444736
140,0.91451510787,0.893858512243,-1.10169078161,2.44141e-05,0.879965205987,0.861655672391,0.365946968397
141,0.917620718479,0.897395779689,-1.17250028749,2.44141e-05,0.88038812081,0.86190400521,0.364088833332
142,0.914851317803,0.894450694323,-1.11430646479,2.44141e-05,0.880243678888,0.861932039261,0.363481660684
143,0.915865326921,0.895474821329,-1.1340129332,1.2207e-05,0.880151371161,0.861862719059,0.36407105128
144,0.916463981072,0.896102011204,-1.1288039734,1.2207e-05,0.880230466525,0.861912409465,0.364146173
145,0.917536353072,0.896765649319,-1.16235671937,1.2207e-05,0.880695104599,0.862016280492,0.363650341829
146,0.917743941148,0.897210543354,-1.1696647803,1.2207e-05,0.880857845147,0.862002968788,0.363492866357
147,0.916428630551,0.896434073647,-1.1577758193,1.2207e-05,0.881139119466,0.86195063591,0.363223791122
148,0.916900570194,0.895851825674,-1.13631346325,1.2207e-05,0.881201942762,0.861955841382,0.36338442564
149,0.917343392968,0.896439110239,-1.15136188765,6.10352e-06,0.881270607313,0.861916859945,0.36319993933
150,0.915002440413,0.8951416562,-1.12814606229,6.10352e-06,0.881388346354,0.861936092377,0.363285640875
151,0.91684850057,0.895521288117,-1.12196815014,6.10352e-06,0.881407678127,0.862015585105,0.363474965096
152,0.917547225952,0.896599064271,-1.15377376974,6.10352e-06,0.881376643976,0.861932436625,0.363691786925
153,0.912371446689,0.892100701729,-1.0501837184,6.10352e-06,0.881428023179,0.861970265706,0.363547603289
154,0.915670966109,0.894379461805,-1.09567634265,6.10352e-06,0.881511191527,0.862062891324,0.363172044357
