epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.906332797864,0.879993589485,-0.575203692906,0.001,0.668579258171,0.652250516648,1.50299648678
1,0.909081511638,0.882431241227,-0.621240982822,0.001,0.667510231336,0.650668791696,1.52627166346
2,0.90713729461,0.88367630629,-0.630253030243,0.001,0.669466507201,0.651244481405,1.50783411194
3,0.909460522965,0.883567089544,-0.627650653469,0.001,0.668471852938,0.651037982866,1.52878437556
4,0.905142089315,0.880234930445,-0.584214229502,0.001,0.668349934559,0.651011456462,1.53700031252
5,0.906741276091,0.883130599471,-0.602832388936,0.001,0.668128810677,0.648895254322,1.53266829369
6,0.908166546448,0.883869375668,-0.620167064608,0.001,0.668331069105,0.65126489658,1.53862567509
7,0.908147215843,0.883948525377,-0.627165220641,0.0005,0.67222461046,0.65468642174,1.52781693141
8,0.90962432471,0.88518479408,-0.654515614112,0.0005,0.673708897011,0.655827501241,1.51684089969
9,0.909991350828,0.886907125221,-0.69275482145,0.0005,0.670595650579,0.653848527693,1.53296007128
10,0.908397486397,0.884956323049,-0.637486835613,0.0005,0.669224605841,0.651054776182,1.52977298989
11,0.911679287167,0.887780155037,-0.704457168778,0.0005,0.67224973557,0.654897271418,1.52067658948
12,0.910390479308,0.886695072931,-0.667573123002,0.0005,0.67024379618,0.653566999763,1.54701248805
13,0.909576154807,0.886208222777,-0.660863927474,0.00025,0.67029032754,0.653359376917,1.5381933404
14,0.910660389007,0.887102625534,-0.691642819666,0.00025,0.670890651497,0.654191219339,1.5361208869
15,0.910590336603,0.886696986708,-0.672181260644,0.00025,0.669636296291,0.653067658929,1.54067604448
16,0.909235154881,0.885718113651,-0.648238163222,0.00025,0.672475623149,0.655551192807,1.52838253274
17,0.910606615684,0.886798527311,-0.667453277637,0.00025,0.667807637476,0.651621044851,1.55511659968
18,0.909434781939,0.886354761965,-0.675699102017,0.00025,0.669272630822,0.652743868968,1.55007999551
19,0.912230177837,0.888287544835,-0.711671672615,0.000125,0.668863626087,0.652625037175,1.55815768943
20,0.913515276769,0.890410378283,-0.739033958199,0.000125,0.66865958887,0.652427204684,1.55753618596
21,0.912754997903,0.889100257673,-0.715799536775,0.000125,0.669115706986,0.652729834996,1.55094472333
22,0.91179096056,0.887883172316,-0.694394122225,0.000125,0.667963673087,0.651864400097,1.5572114318
23,0.911901181235,0.888321011674,-0.671241613141,0.000125,0.668475132363,0.652413425492,1.55564641018
24,0.912195389762,0.888890133185,-0.720735589079,0.000125,0.669257820821,0.653066358146,1.5483790005
25,0.910656085786,0.887127148754,-0.669776756097,6.25e-05,0.668917027174,0.653050117633,1.55059756017
26,0.910540559713,0.887481597709,-0.687223042928,6.25e-05,0.669044945754,0.653240303198,1.55043125153
27,0.912698630609,0.889699026066,-0.723371679584,6.25e-05,0.669806541181,0.6540023591,1.54737898181
28,0.912224788292,0.889031721681,-0.716373611022,6.25e-05,0.669690298099,0.653929338736,1.54778809641
29,0.910268561513,0.887378031132,-0.685213092203,6.25e-05,0.670324748638,0.654685413136,1.54410829965
30,0.910810730621,0.888001704333,-0.700351201436,6.25e-05,0.670422575053,0.654760484602,1.54440951581
31,0.910447402328,0.887434487834,-0.674734438459,3.125e-05,0.670310822188,0.654683537343,1.5453810201
32,0.911307573903,0.888216560962,-0.705506180139,3.125e-05,0.670247377134,0.6546333701,1.54602831953
33,0.910188899321,0.887308479524,-0.679623044552,3.125e-05,0.670126816806,0.654511533531,1.54703607512
34,0.912225203187,0.889166764769,-0.713788552904,3.125e-05,0.670115449849,0.654646665442,1.54712302077
35,0.909862742705,0.886732643726,-0.65625271329,3.125e-05,0.670207897822,0.654609447601,1.54554449811
36,0.911307309772,0.888086881708,-0.683342278588,3.125e-05,0.6703739587,0.654946712887,1.54588557225
37,0.910271206907,0.887202027966,-0.678826257879,1.5625e-05,0.67049872174,0.655043709512,1.5456145137
38,0.912927854879,0.889663824848,-0.732963520814,1.5625e-05,0.670442475992,0.655003850367,1.54637494508
39,0.912101712881,0.889183542892,-0.721662412964,1.5625e-05,0.670284652242,0.654861935214,1.5477966748
