epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.815243622836,0.792932183719,1.82210475148,0.001,0.708803660729,0.686181478641,1.2735432363
1,0.842759859328,0.806732863188,0.580666005904,0.001,0.7002765361,0.668240673402,1.2385893429
2,0.85687760103,0.818406758355,0.259766405594,0.001,0.710028540854,0.675507504566,1.16648512261
3,0.86187751971,0.825715625987,0.165471792769,0.001,0.701343765446,0.665457177396,1.2046397901
4,0.868186763689,0.831526180108,0.0854926081922,0.001,0.710907127343,0.675200378194,1.18555546041
5,0.868973453255,0.83173801151,0.0194334925938,0.001,0.701833844185,0.66368856617,1.19668102031
6,0.873691931659,0.836394839427,-0.0163050666999,0.001,0.707523556317,0.6683771844,1.18913760372
7,0.876364122419,0.841952029981,-0.0934610261637,0.001,0.70544508158,0.666894209151,1.18753686138
8,0.879454149919,0.844318686163,-0.0941618733181,0.001,0.692806622561,0.653969979754,1.24076001317
9,0.878776661321,0.8428141539,-0.134583701361,0.0005,0.708392566326,0.672231433438,1.19009357808
10,0.886078327894,0.851156776442,-0.2520424894,0.0005,0.703299286319,0.669825974633,1.19944405789
11,0.885799216874,0.85123452778,-0.247342426001,0.0005,0.701185490571,0.667560143798,1.19960116405
12,0.885281206346,0.852208744661,-0.262045248028,0.0005,0.700399207134,0.666380667219,1.20121694312
13,0.884486184401,0.849972069263,-0.214140696707,0.0005,0.700939091982,0.669162458065,1.20254939911
14,0.886862928961,0.854305428617,-0.280956707018,0.0005,0.709258591428,0.673076606264,1.15759321054
15,0.889944266455,0.856747249762,-0.310098238618,0.0005,0.705842410817,0.67162952353,1.16617704607
16,0.890569765778,0.857463655519,-0.331770085967,0.0005,0.702429682601,0.672902435649,1.1913768427
17,0.891802055579,0.860092554022,-0.360789459308,0.0005,0.695320875037,0.665514766001,1.20710973646
18,0.889997708447,0.857769956191,-0.325677907788,0.0005,0.700322480763,0.668729915338,1.17909200986
19,0.891960924747,0.860192327523,-0.367469561852,0.0005,0.696839416728,0.669220959439,1.21567954269
20,0.890443911155,0.858743796746,-0.324004344715,0.0005,0.699512264308,0.673595728827,1.19728038825
21,0.894365872238,0.862848527291,-0.404623641395,0.00025,0.696823711489,0.668655479656,1.1953774527
22,0.893981674723,0.862939284128,-0.419047288597,0.00025,0.699525861179,0.672081796562,1.1890275081
23,0.896355568778,0.864200135072,-0.438784294415,0.00025,0.694550902236,0.667797842446,1.21084279874
24,0.89694449773,0.865125164097,-0.440861465154,0.00025,0.697556596176,0.671244836321,1.2083876133
25,0.895573599081,0.865146393869,-0.446375200854,0.00025,0.69198337957,0.666156121329,1.21359476155
26,0.894805123409,0.865036631916,-0.421269548874,0.00025,0.694490472476,0.669579667204,1.22772466903
27,0.898059129715,0.866087887217,-0.485318577465,0.000125,0.69250681821,0.666929801305,1.22138519848
28,0.898620713575,0.868681562297,-0.49304692418,0.000125,0.693559976185,0.66873617967,1.21703545486
29,0.89489271185,0.864581473902,-0.416582386283,0.000125,0.696049573375,0.669758870321,1.20217437604
30,0.898032614998,0.86634125429,-0.459967600072,0.000125,0.693495953784,0.668378454797,1.2182024133
31,0.895168862506,0.864715933215,-0.420691026703,0.000125,0.693403508149,0.668367874389,1.21855457624
32,0.895650338893,0.865334332574,-0.448666457635,0.000125,0.693925009054,0.669649755254,1.21680862062
33,0.89954675588,0.868238895547,-0.50304949941,6.25e-05,0.693511661361,0.669386421933,1.21669586733
34,0.899398319277,0.868802480838,-0.497238780207,6.25e-05,0.691549268423,0.668168722415,1.22690114788
35,0.90034208286,0.869373440742,-0.51691362028,6.25e-05,0.691212375959,0.667895994934,1.2246593868
36,0.901062050286,0.869655182549,-0.500967059504,6.25e-05,0.691966493924,0.668654157835,1.21840063731
37,0.898562485097,0.868416377142,-0.485979832417,6.25e-05,0.691593093031,0.668774004076,1.22347119042
38,0.899282977862,0.868675972317,-0.498813741493,6.25e-05,0.691716070269,0.668056904101,1.22002913671
39,0.897703509705,0.866276912829,-0.464204452494,3.125e-05,0.691111681508,0.667653210023,1.22251260514
