epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.238930237599,0.239444510868,21.9725779142,0.01,0.139371035573,0.140792783254,5.28865305583
1,0.437693130894,0.336853480874,16.8535871017,0.01,0.512120570892,0.459134281446,1.65096020393
2,0.442882292164,0.358990237117,15.9500611745,0.01,0.51310378848,0.497723069711,2.34074553465
3,0.443478024923,0.387234624762,15.2901074581,0.01,0.493077213948,0.493529296074,1.86991173182
4,0.456763682839,0.40006558215,13.8772762861,0.01,0.534345203485,0.52273868139,2.51811589339
5,0.464530303692,0.404133393596,14.1457917629,0.01,0.526596061694,0.514577685258,2.44981289521
6,0.491045440619,0.433079477304,12.8393818904,0.01,0.583461662134,0.531645874182,1.4335110157
7,0.500911763463,0.446759212093,12.6012166219,0.01,0.593217110023,0.520407982362,1.36745380133
8,0.52934660667,0.469245870908,12.0483039465,0.01,0.597368298433,0.551062936966,1.44189196978
9,0.511567292687,0.461790358027,11.5381141932,0.01,0.593505853262,0.536366841732,1.33791695191
10,0.531978504398,0.478262609778,11.1711670374,0.01,0.481339479104,0.424060706145,1.74460917558
11,0.537810693949,0.479719435939,11.0785438097,0.01,0.564107049734,0.528475032403,1.58798925082
12,0.539302093478,0.481779390039,11.3246956116,0.01,0.586761653423,0.547313135404,1.53767773433
13,0.542533379717,0.485635541188,10.9045210741,0.01,0.471980366187,0.432249879226,1.71399161449
14,0.547002161925,0.501093610357,10.5444031923,0.01,0.500956024879,0.462637258646,1.65848425107
15,0.57337017472,0.518029670685,9.77719917664,0.01,0.367067379829,0.337383613372,1.89823186703
16,0.576611348452,0.517899346657,9.56640665348,0.005,0.493538095401,0.412805758226,1.53765594654
17,0.572600922905,0.518930436327,9.37161629017,0.005,0.611555637457,0.517905105383,1.25194142721
18,0.57751343342,0.521607481516,9.04838698338,0.005,0.63058861708,0.520864425561,1.24051486529
19,0.582025968111,0.525095214064,9.20673701091,0.005,0.613925848252,0.536371169946,1.30653186028
20,0.590323718695,0.533216914687,8.77941162158,0.005,0.609672922354,0.520071058701,1.25228684988
21,0.583985947646,0.533160777046,9.02827143669,0.005,0.498005796701,0.45286545998,1.5790821589
22,0.587258215898,0.529496408808,8.59637674307,0.005,0.570932646592,0.51694501669,1.33510687412
23,0.588583779641,0.53760009622,8.64350230877,0.005,0.605274681862,0.547850902264,1.19273515695
24,0.577745634776,0.527447050581,8.60729166178,0.005,0.596894290203,0.541500430841,1.24928009816
25,0.583383514331,0.530193247856,8.71388330826,0.005,0.581378244437,0.521542805892,1.28121369924
26,0.586339511168,0.532665173977,8.99357993175,0.005,0.541950322115,0.471361458302,1.45159764473
27,0.585535096052,0.532907105027,8.42861496485,0.005,0.540832308623,0.492748057231,1.50518795771
28,0.590996519113,0.539801183419,8.32794479223,0.005,0.544381762162,0.465306783334,1.43921000835
29,0.593052597382,0.54098403301,8.15106344223,0.005,0.580908362682,0.480036752346,1.36760360767
30,0.602432354138,0.552059333676,8.11788791265,0.0025,0.556442662691,0.463540580028,1.43979774683
31,0.591786166032,0.542230503681,7.96716677837,0.0025,0.572775434225,0.523312064318,1.29477741627
32,0.603933680516,0.555184501868,7.52794587918,0.0025,0.599197789645,0.539394235,1.25993327605
33,0.61294473211,0.555789273519,7.50048527962,0.0025,0.547566731771,0.506384898455,1.43772569681
34,0.600844993041,0.551864978595,7.249661898,0.0025,0.542703489463,0.496134447746,1.4805173232
35,0.600665557079,0.553784164099,7.44677335788,0.0025,0.609967152278,0.555843972243,1.18519521065
36,0.610861703371,0.555120530801,7.44214955354,0.0025,0.583642225999,0.521024483901,1.4033648387
37,0.603767931461,0.554771290376,7.2951303751,0.0025,0.553529589604,0.496864334131,1.52958748585
38,0.613821222232,0.561427727724,7.06124498294,0.0025,0.543381914114,0.506771451388,1.42298239622
39,0.607531476479,0.559096275996,7.0895610956,0.0025,0.529215108126,0.499766181677,1.43227866674
40,0.61741897693,0.566519551552,7.14944935456,0.0025,0.556641786526,0.506411219255,1.35617762346
41,0.608856347127,0.555641016135,7.40277441343,0.0025,0.480373284756,0.469137034355,1.77458618237
42,0.620032674991,0.567331928473,6.83055704679,0.00125,0.492540793541,0.48482579757,1.68483373446
43,0.622151934184,0.568903952073,6.55768621274,0.00125,0.494815532978,0.482825616995,1.65024664463
44,0.62239305484,0.570334719542,6.66664567361,0.00125,0.515524844329,0.49017137289,1.47653792149
