epoch,acc,dice_coef,loss,lr,val_acc,val_dice_coef,val_loss
0,0.405717611875,0.335528986072,6.35463411403,0.01,0.215086170157,0.23527452697,3.02268193001
1,0.525901739327,0.44086885396,5.17757173754,0.01,0.293963674316,0.205559242713,2.72079414801
2,0.567319332429,0.487316492031,4.67329308672,0.01,0.296911029439,0.219778214182,2.40959289199
3,0.590738493317,0.51724252161,4.2760032213,0.01,0.218696998474,0.224444713023,2.56620304029
4,0.603253378058,0.532576876991,4.01571486131,0.01,0.35291708905,0.312319185053,2.60220564935
5,0.632484233604,0.563856185607,3.58269715759,0.01,0.150293567239,0.155580442091,4.63073991474
6,0.648890574023,0.582477120858,3.40416673444,0.01,0.168546863012,0.141205730519,4.68214950705
7,0.644743832777,0.584714908645,3.29595792968,0.01,0.290232030745,0.254416380162,2.97052059676
8,0.664670143487,0.600048600503,3.09973320421,0.01,0.169008067004,0.163613741335,4.62445694701
9,0.693059842542,0.632818719126,2.59270774418,0.005,0.29244754413,0.278926276623,3.02649311912
10,0.711447633662,0.655102843384,2.30521635289,0.005,0.34756446288,0.327993841548,2.5760779094
11,0.713753268404,0.658169094122,2.2413217774,0.005,0.32293219405,0.303287096714,2.63227395725
12,0.722143581453,0.666987395511,2.08696827799,0.005,0.443131528851,0.402978897095,2.15936964168
